SON;supraoptic nucleus;rodent, carnivore, primate;Die::Hy::SON
SOX;supraoptic commissure;primate;<Null>
SpC;spinal cord;rodent, carnivore, primate;SpC
SPC;nucleus superficialis parvocellularis (nucleus tractus septomesencephalici);avian;<Null>
SPf;subparafascicular nucleus;rodent, carnivore, primate;Die::Th::SPf
SpL;nucleus spiriformis lateralis;avian;<Null>
SpM;nucleus spiriformis medialis;avian;<Null>
SPS;subparietal sulcus;primate;Tel::Cx::SPS
Spt;septum;rodent, carnivore, primate;Tel::Spt
SpTV;spinal tract of trigeminal;rodent, carnivore, primate;<Null>
SRt;nucleus subrotundus;avian;<Null>
SSp;supraspinal nucleus;rodent, carnivore, primate;<Null>
ST;solitary tract;rodent, carnivore, primate;Me::ST
ST;stria terminalis;avian;<Null>
STG;superior temporal gyrus;primate;Tel::STG
STN;triangular septal nucleus;rodent, carnivore, primate;Tel::Spt::STN
STr;stria terminalis;rodent, carnivore, primate;<Null>
STS;superior temporal sulcus;primate;Tel::Cx::STS
TB;trapezoid body;rodent, carnivore, primate;<Null>
TD;dorsal tegmental nucleus;rodent, carnivore, primate;<Null>
Te;temporal cortex;rodent, carnivore, primate;Tel::Cx::Te
Tec;tectum;rodent, carnivore, primate;MB::Tec
Tel;telencephalon;rodent, carnivore, primate;Tel
TeO;tectum opticum;avian;<Null>
Th;dorsal thalamus;rodent, carnivore, primate;Die::Th
TM;tubero-mamillary area;rodent, carnivore, primate;Die::Hy::TM
Tn;nucleus taeniae;avian;<Null>
TO;tuberculum olfactorium;avian;<Null>
TOv;tractus nuclei ovoidalis;avian;<Null>
TrO;tractus opticus;avian;<Null>
TSM;tractus septomesencephalicus;avian;<Null>
TSp;tectospinal tract;rodent, carnivore, primate;<Null>
TT;taenia tecta (including indusium griseum);rodent, carnivore, primate;Tel::TT
TU;lateral tuberal nucleus;primate;<Null>
TX;tegmental decussations;rodent, carnivore, primate;MB::TX
V;trigeminal nuclear complex;rodent, carnivore, primate;<Null>
V1;primary visual cortex;rodent, carnivore, primate;Tel::Cx::V1
V2;secondary visual cortex;rodent, carnivore, primate;Tel::Cx::V2
VA;ventral anterior nucleus of thalamus;rodent, carnivore, primate;Die::Th::VA
Va;vallecula;avian;<Null>
VAmc;ventral anterior nucleus of thalamus, magnocellular division;rodent, carnivore, primate;Die::Th::VA::VAmc
VH;ventral horn;rodent, carnivore, primate;SpC::VH
VI;abducens nucleus;rodent, carnivore, primate;Pons::VI
VII;facial nucleus;rodent, carnivore, primate;Pons::VII
VIIIN;auditory nerve;rodent, carnivore, primate;<Null>
VIIN;facial nerve;rodent, carnivore, primate;Pons::VIIN
VIN;abducens nerve;rodent, carnivore, primate;Pons::VIN
VL;ventral lateral nucleus of thalamus;rodent, carnivore, primate;Die::Th::VL
VLa;ventral lateral anterior nucleus of thalamus;rodent, carnivore, primate;Die::Th::VLa
VLp;ventral lateral posterior nucleus of thalamus;rodent, carnivore, primate;Die::Th::VLp
Vm;motor nucleus of trigeminal;rodent, carnivore, primate;<Null>
VM;ventral medial nucleus of thalamus;rodent, carnivore, primate;Die::Th::VM
VMb;basal ventral medial nucleus of thalamus;rodent, carnivore, primate;Die::Th::VMb
VMH;ventral medial nucleus of hypothalamus;rodent, carnivore, primate;Die::Hy::VMH
VMH;ventromedial nucleus of hypothalamus;avian;<Null>
VN;trigeminal nerve;rodent, carnivore, primate;<Null>
VP;principal trigeminal nucleus;rodent, carnivore, primate;<Null>
VPa;ventral pallidum;rodent, carnivore, primate;Tel::VPa
VPa;ventral pallidum;avian;<Null>
VPI;ventral posterior inferior nucleus of thalamus;rodent, carnivore, primate;Die::Th::VPI
VPL;ventral posterior lateral nucleus of thalamus;rodent, carnivore, primate;Die::Th::VPL
VPM;ventral posterior medial nucleus of thalamus;rodent, carnivore, primate;Die::Th::VPM
VR;ventral raphe;rodent, carnivore, primate;<Null>
VS;vestibular nuclei;rodent, carnivore, primate;Me::VS
VSI;inferior vestibular nucleus;rodent, carnivore, primate;Me::VS::VSI
VSL;lateral vestibular nucleus;rodent, carnivore, primate;Me::VS::VSL
VSM;medial vestibular nucleus;rodent, carnivore, primate;Me::VS::VSM
VSp;spinal trigeminal nucleus;rodent, carnivore, primate;<Null>
VSS;superior vestibular nucleus;rodent, carnivore, primate;Me::VS::VSS
VTA;ventral tegmental area;rodent, carnivore, primate;MB::VTA
VTh;ventral thalamus;rodent, carnivore, primate;Die::VTh
W;Wulst;avian;<Null>
XII;hypoglossal nucleus;rodent, carnivore, primate;<Null>
ZI;zona incerta;rodent, carnivore, primate;Die::VTh::ZI
